Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
Max Edward Snax                 8.82%   5.88%     2.94%     4.90%   4.90%    7.84%   4.90%   2.94%     0.98%   7.84%    1.96%    13.73%    2.94%    0.98%    0.00%    0.98%      7.84%     1.96%    0.98%   16.67%     0.00%
mintyrug                        1.67%   0.00%     0.00%    15.00%   0.00%    8.33%   1.67%   0.00%     0.00%   8.33%    3.33%     6.67%    3.33%   10.00%   13.33%    1.67%      0.00%     0.00%   13.33%   10.00%     3.33%
mistajinxy                      2.22%   4.44%    13.33%     8.89%   4.44%    6.67%  13.33%   0.00%     0.00%   0.00%    4.44%    15.56%    0.00%    0.00%    0.00%    8.89%      4.44%     0.00%    0.00%   13.33%     0.00%
ml726                           8.54%   0.00%     1.22%     3.66%   2.44%   20.73%   3.66%   0.00%     2.44%   3.66%   10.98%     8.54%    7.32%    2.44%    1.22%    2.44%      1.22%     0.00%    7.32%    6.10%     6.10%
monaters                       16.67%   4.17%     5.56%     6.94%   2.78%    2.78%   5.56%   5.56%     2.78%   6.94%    6.94%     2.78%    4.17%    6.94%    1.39%    4.17%      4.17%     2.78%    4.17%    2.78%     0.00%
moon                            5.56%   5.56%     0.00%     8.33%   2.78%    2.78%   2.78%   5.56%     5.56%   5.56%    0.00%    11.11%    8.33%    5.56%   11.11%    0.00%      2.78%     0.00%    5.56%    5.56%     5.56%
motionblur                     20.00%   1.82%     1.82%     5.45%   0.00%    9.09%   5.45%   1.82%     1.82%   3.64%    3.64%    10.91%    3.64%    5.45%    1.82%    3.64%      1.82%     3.64%    1.82%    7.27%     5.45%
mrmrhi                          0.00%   0.00%     0.00%     0.00%   0.00%   12.50%   0.00%  12.50%     0.00%  12.50%   37.50%    12.50%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%   12.50%    0.00%     0.00%
mrrgrs                         12.00%   2.67%     2.67%     1.33%   9.33%    4.00%   6.67%   1.33%     0.00%   2.67%    8.00%    10.67%    6.67%    4.00%    1.33%    2.67%      6.67%     0.00%    6.67%    5.33%     5.33%
mrtwister                       9.84%   6.56%     1.64%     6.56%   4.92%    8.20%   3.28%   1.64%     1.64%   4.92%   18.03%     9.84%    4.92%    3.28%    1.64%    3.28%      0.00%     1.64%    6.56%    0.00%     1.64%
